ID;TOWN;TOWNNO;TRACT;LON;LAT;x;y;MEDV;CMEDV;CRIM;ZN;INDUS;CHAS;NOX;RM;AGE;DIS;RAD;TAX;PTRATIO;B;LSTAT
1;0;0;2011,00;-70,9550;42,2550;338,730;4679,730;24,0;24,0;0,006320;18,0;2,310;0;0,5380;6,5750;65,20;4,09000;1;296;15,30;396,90;4,980
2;0;1;2021,00;-70,9500;42,2875;339,230;4683,330;21,6;21,6;0,027310;0,0;7,070;0;0,4690;6,4210;78,90;4,96710;2;242;17,80;396,90;9,140
3;0;1;2022,00;-70,9360;42,2830;340,370;4682,800;34,7;34,7;0,027290;0,0;7,070;0;0,4690;7,1850;61,10;4,96710;2;242;17,80;392,83;4,030
4;0;2;2031,00;-70,9280;42,2930;341,050;4683,890;33,4;33,4;0,032370;0,0;2,180;0;0,4580;6,9980;45,80;6,06220;3;222;18,70;394,63;2,940
5;0;2;2032,00;-70,9220;42,2980;341,560;4684,440;36,2;36,2;0,069050;0,0;2,180;0;0,4580;7,1470;54,20;6,06220;3;222;18,70;396,90;5,330
6;0;2;2033,00;-70,9165;42,3040;342,030;4685,090;28,7;28,7;0,029850;0,0;2,180;0;0,4580;6,4300;58,70;6,06220;3;222;18,70;394,12;5,210
7;0;3;2041,00;-70,9360;42,2970;340,410;4684,350;22,9;22,9;0,088290;12,5;7,870;0;0,5240;6,0120;66,60;5,56050;5;311;15,20;395,60;12,430
8;0;3;2042,00;-70,9375;42,3100;340,310;4685,800;27,1;22,1;0,144550;12,5;7,870;0;0,5240;6,1720;96,10;5,95050;5;311;15,20;396,90;19,150
9;0;3;2043,00;-70,9330;42,3120;340,690;4686,010;16,5;16,5;0,211240;12,5;7,870;0;0,5240;5,6310;100,00;6,08210;5;311;15,20;386,63;29,930
10;0;3;2044,00;-70,9290;42,3160;341,030;4686,450;18,9;18,9;0,170040;12,5;7,870;0;0,5240;6,0040;85,90;6,59210;5;311;15,20;386,71;17,100
11;0;3;2045,00;-70,9350;42,3160;340,540;4686,460;15,0;15,0;0,224890;12,5;7,870;0;0,5240;6,3770;94,30;6,34670;5;311;15,20;392,52;20,450
12;0;3;2046,00;-70,9440;42,3170;339,800;4686,590;18,9;18,9;0,117470;12,5;7,870;0;0,5240;6,0090;82,90;6,22670;5;311;15,20;396,90;13,270
13;0;3;2047,00;-70,9510;42,3060;339,190;4685,380;21,7;21,7;0,093780;12,5;7,870;0;0,5240;5,8890;39,00;5,45090;5;311;15,20;390,50;15,710
14;0;4;2051,00;-70,9645;42,2920;338,040;4683,850;20,4;20,4;0,629760;0,0;8,140;0;0,5380;5,9490;61,80;4,70750;4;307;21,00;396,90;8,260
15;0;4;2052,00;-70,9720;42,2870;337,410;4683,310;18,2;18,2;0,637960;0,0;8,140;0;0,5380;6,0960;84,50;4,46190;4;307;21,00;380,02;10,260
16;0;4;2053,00;-70,9765;42,2940;337,060;4684,100;19,9;19,9;0,627390;0,0;8,140;0;0,5380;5,8340;56,50;4,49860;4;307;21,00;395,62;8,470
17;0;4;2054,00;-70,9870;42,2985;336,210;4684,620;23,1;23,1;1,053930;0,0;8,140;0;0,5380;5,9350;29,30;4,49860;4;307;21,00;386,85;6,580
18;0;4;2055,00;-70,9780;42,2850;336,910;4683,100;17,5;17,5;0,784200;0,0;8,140;0;0,5380;5,9900;81,70;4,25790;4;307;21,00;386,75;14,670
19;0;4;2056,00;-70,9925;42,2825;335,710;4682,850;20,2;20,2;0,802710;0,0;8,140;0;0,5380;5,4560;36,60;3,79650;4;307;21,00;288,99;11,690
20;0;4;2057,00;-70,9880;42,2776;336,070;4682,300;18,2;18,2;0,725800;0,0;8,140;0;0,5380;5,7270;69,50;3,79650;4;307;21,00;390,95;11,280
21;0;4;2058,00;-70,9835;42,2770;336,440;4682,220;13,6;13,6;1,251790;0,0;8,140;0;0,5380;5,5700;98,10;3,79790;4;307;21,00;376,57;21,020
22;0;4;2059,00;-70,9820;42,2810;336,570;4682,660;19,6;19,6;0,852040;0,0;8,140;0;0,5380;5,9650;89,20;4,01230;4;307;21,00;392,53;13,830
23;0;4;2060,00;-70,9775;42,2790;336,940;4682,430;15,2;15,2;1,232470;0,0;8,140;0;0,5380;6,1420;91,70;3,97690;4;307;21,00;396,90;18,720
24;0;4;2061,00;-70,9730;42,2790;337,310;4682,420;14,5;14,5;0,988430;0,0;8,140;0;0,5380;5,8130;100,00;4,09520;4;307;21,00;394,54;19,880
25;0;4;2062,00;-70,9693;42,2816;337,620;4682,710;15,6;15,6;0,750260;0,0;8,140;0;0,5380;5,9240;94,10;4,39960;4;307;21,00;394,33;16,300
26;0;4;2063,00;-70,9640;42,2840;338,060;4682,960;13,9;13,9;0,840540;0,0;8,140;0;0,5380;5,5990;85,70;4,45460;4;307;21,00;303,42;16,510
27;0;4;2064,00;-70,9597;42,2870;338,430;4683,290;16,6;16,6;0,671910;0,0;8,140;0;0,5380;5,8130;90,30;4,68200;4;307;21,00;376,88;14,810
28;0;4;2065,00;-70,9597;42,2825;338,410;4682,790;14,8;14,8;0,955770;0,0;8,140;0;0,5380;6,0470;88,80;4,45340;4;307;21,00;306,38;17,280
29;0;4;2066,00;-70,9570;42,2800;338,630;4682,510;18,4;18,4;0,772990;0,0;8,140;0;0,5380;6,4950;94,40;4,45470;4;307;21,00;387,94;12,800
30;0;4;2067,00;-70,9510;42,2780;339,120;4682,270;21,0;21,0;1,002450;0,0;8,140;0;0,5380;6,6740;87,30;4,23900;4;307;21,00;380,23;11,980
31;0;4;2068,00;-70,9670;42,2790;337,800;4682,410;12,7;12,7;1,130810;0,0;8,140;0;0,5380;5,7130;94,10;4,23300;4;307;21,00;360,17;22,600
32;0;4;2069,00;-70,9640;42,2765;338,040;4682,130;14,5;14,5;1,354720;0,0;8,140;0;0,5380;6,0720;100,00;4,17500;4;307;21,00;376,73;13,040
33;0;4;2070,00;-70,9720;42,2765;337,380;4682,150;13,2;13,2;1,387990;0,0;8,140;0;0,5380;5,9500;82,00;3,99000;4;307;21,00;232,60;27,710
34;0;4;2071,00;-70,9795;42,2760;336,770;4682,100;13,1;13,1;1,151720;0,0;8,140;0;0,5380;5,7010;95,00;3,78720;4;307;21,00;358,77;18,350
35;0;4;2072,00;-70,9775;42,2720;336,920;4681,660;13,5;13,5;1,612820;0,0;8,140;0;0,5380;6,0960;96,90;3,75980;4;307;21,00;248,31;20,340
36;0;5;2081,00;-71,0000;42,2700;335,060;4681,480;18,9;18,9;0,064170;0,0;5,960;0;0,4990;5,9330;68,20;3,36030;5;279;19,20;396,90;9,680
37;0;5;2082,00;-71,0080;42,2745;334,410;4681,990;20,0;20,0;0,097440;0,0;5,960;0;0,4990;5,8410;61,40;3,37790;5;279;19,20;377,56;11,410
38;0;5;2083,00;-71,0040;42,2865;334,770;4683,320;21,0;21,0;0,080140;0,0;5,960;0;0,4990;5,8500;41,50;3,93420;5;279;19,20;396,90;8,770
39;0;5;2084,00;-71,0200;42,2875;333,460;4683,460;24,7;24,2;0,175050;0,0;5,960;0;0,4990;5,9660;30,20;3,84730;5;279;19,20;393,43;10,130
40;0;6;2091,00;-71,0130;42,3130;334,100;4686,280;30,8;30,8;0,027630;75,0;2,950;0;0,4280;6,5950;21,80;5,40110;3;252;18,30;395,63;4,320
41;0;6;2092,00;-71,0300;42,3240;332,730;4687,530;34,9;34,9;0,033590;75,0;2,950;0;0,4280;7,0240;15,80;5,40110;3;252;18,30;395,62;1,980
42;0;7;2101,00;-71,0040;42,3350;334,900;4688,700;26,6;26,6;0,127440;0,0;6,910;0;0,4480;6,7700;2,90;5,72090;3;233;17,90;385,41;4,840
43;0;7;2102,00;-71,0030;42,3235;334,950;4687,420;25,3;25,3;0,141500;0,0;6,910;0;0,4480;6,1690;6,60;5,72090;3;233;17,90;383,37;5,810
44;0;7;2103,00;-70,9775;42,3237;337,050;4687,400;24,7;24,7;0,159360;0,0;6,910;0;0,4480;6,2110;6,50;5,72090;3;233;17,90;394,46;7,440
45;0;7;2104,00;-70,9675;42,3170;337,860;4686,630;21,2;21,2;0,122690;0,0;6,910;0;0,4480;6,0690;40,00;5,72090;3;233;17,90;389,39;9,550
46;0;7;2105,00;-70,9725;42,3075;337,420;4685,590;19,3;19,3;0,171420;0,0;6,910;0;0,4480;5,6820;33,80;5,10040;3;233;17,90;396,90;10,210
47;0;7;2106,00;-70,9650;42,3075;338,040;4685,570;20,0;20,0;0,188360;0,0;6,910;0;0,4480;5,7860;33,30;5,10040;3;233;17,90;396,90;14,150
48;0;7;2107,00;-70,9560;42,3125;338,800;4686,110;16,6;16,6;0,229270;0,0;6,910;0;0,4480;6,0300;85,50;5,68940;3;233;17,90;392,74;18,800
49;0;7;2108,00;-70,9550;42,3165;338,890;4686,550;14,4;14,4;0,253870;0,0;6,910;0;0,4480;5,3990;95,30;5,87000;3;233;17,90;396,90;30,810
50;0;7;2109,00;-70,9525;42,3208;339,110;4687,030;19,4;19,4;0,219770;0,0;6,910;0;0,4480;5,6020;62,00;6,08770;3;233;17,90;396,90;16,200
51;0;8;2111,00;-70,9510;42,3340;339,260;4688,490;19,7;19,7;0,088730;21,0;5,640;0;0,4390;5,9630;45,70;6,81470;4;243;16,80;395,56;13,450
